State,text,label
AK,"Question: Who Can Register, Who Can Vote? Answer: To Register A U.S. Citizen (see requirements below) An Alaskan resident 18 years of age or will be 18 on election day. Not be a convicted felon involving moral turpitude, unless your voting rights have been restored. Not be registered to vote in another state unless you are willing to cancel your registration in that state. To Vote A U.S. citizen Age 18 or older. A resident of the state and of the election district that you seek to vote in for at least 30 days before an election. Registered to vote on or before the registration deadline; and not registered to vote in any other jurisdiction. Alaska Residency Requirements For voting purposes, you are considered an Alaska resident if you reside in the state and intend to remain a resident or, if you temporarily leave the state, you have intention to return (Active military members, spouses, or dependents are exempt from the intent to return requirement). U.S. Citizen Requirements It is a crime to register and vote if you are not a U.S. Citizen. Just because you received a Voter Registration Card, does not mean you are a U.S. Citizen. Naturalized U.S. citizens are eligible to register and vote but noncitizen U.S. nationals are not.",0
AK,"Question: Why did I receive a voter registration card if I am not a U.S. Citizen? Answer: When you fill out your PFD, you are automatically registered to vote. If you are not a U.S. Citizen, contact the Division of Elections so they can cancel your voter registration. You may have marked a DMV or PFD form indicating you are a citizen when you are not. Be sure to contact the Division of Elections to cancel your voter registration if you are registered to vote and are not a U.S. Citizen.",0
AK,"Question: How do I cancel my voter registration? Answer: By Phone Cancel your voter registration in Alaska by contacting your Regional Elections Office. Be prepared to provide your name and an identifier (voter number, Alaska drivers license number or state identification number, date of birth or last four of your Social Security Number). In Writing To request your registration be cancelled use the cancellation form. Or, you may also send an email or letter. Your cancellation request must include the following information. Your full name An identifier (voter number, Alaska drivers license number or state identification number, date of birth or last four of your Social Security Number) Send written requests by email or fax or by mail to your Regional Elections Office.",0
AK,"Question: How to Vote Absentee In-Person or Early? Answer: Absentee In-Person voting is like voting early at your polling place. The difference is that absentee locations do not have a secure connection with the voter registration database system, which means the poll worker cannot look you up to verify your information.",0
AK,"Question: For absentee voting, what should I expect? Answer: Absentee In-Person and Early Voting locations are open for voting starting 15 days prior and through Election Day. Each location has different hours and district ballots available. Absentee In-Person voting requires you to complete an envelope with your voted ballot and drop the envelope in a ballot box. These ballots are not scanned at the voting location and are instead reviewed by the Absentee Review Board to make sure you are eligible and that you have not already voted. At locations that are marked as an Early Voting location, your eligibility is determined at the time you vote by verifying that the information on your voter registration record is current. If everything is correct, you will vote your ballot and insert it into scanner. If your information is not current, you will have to vote using the Absentee In-Person method.",0
AK,Question: Can I apply for a ballot on behalf of another person? Answer: No. You cannot apply for an absentee ballot on someone elses behalf unless you have a valid power of attorney which authorizes you to apply on behalf of the voter.,0
AK,Question: If I have a Power of Attorney (POA) can I sign the ballot envelope for the voter? Answer: No. The voter must sign or make a mark. You can serve as the witness to the voters signature or mark.,0
AK,Question: What happens if I request an absentee by-mail ballot but decide to vote early or in-person on Election Day instead? Answer: You should destroy and dispose of your absentee ballot if you choose to vote in-person. We encourage voters to make a voting plan in advance to lower the likelihood of confusion and better prepare for their chosen method of voting.,0
AK,Question: What if I dont have a computer? Answer: Contact the Absentee and Petition Office at 907-270-2700 or toll free 1-877-375-6508 (within the U.S.).,0
AK,"Question: Do I have to apply separately for each election? Answer: No, you can select All in Calendar Year to receive ballots for all eligible elections.",0
AK,"Question: What if I need to change my ballot mailing address after I have already submitted my application? Answer: Contact the Absentee and Petition Office at 907-270-2700, toll free 1-877-375-6508 (within in the U.S.) or email akabsentee@alaska.gov",0
AK,"Question: What does this mean: Keep my residence address confidential. Mailing address in 6 MUST be different than residence in section 5. And, do I have to provide a different mailing address in Section 6? Answer: Some voters choose to keep their residence address confidential. In order to do this, they must have a different mailing address. If you do not select to keep your residence address confidential, there is no reason to complete Section 6 if your physical address and permanent mailing address are the same.",0
